"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"260",260,NA,"Chiapas","CONCORDIA, LA",NA,NA,"LITERATURE",NA,"NA / 2825 / y021","Mammalia",359,"Rancho Buena Vista III, Cerro El Cebú, Chiapas, CONCORDIA, LA, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"802f2cdc-f762-11e1-a439-00145eb45e9a",NA,"1999-11-20T00:00:00.000+0000",20,NA,NA,NA,NA,1900,NA,NA,NA,"1999-11-20T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",370905322,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. E. Malpica y M. & A. Riechers P.",NA,NA,NA,NA,"ND",NA,"MX",370905322,"Animalia",1,NA,"2016-01-28T22:19:40.982+0000","2016-08-04T03:37:52.127+0000","2014-10-07T03:35:03.251+0000",15.823,NA,NA,"Rancho Buena Vista III, Cerro El Cebú",NA,NA,-93.093,NA,11,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","J. E. Malpica y M. & A. Riechers P.",NA,NA,NA,NA,NA,NA,"Conepatus mesoleucus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"mesoleucus",NA,NA,2434881,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"262",262,"http://vertnet.org/resources/norms.html","Sonora",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UAZ 26755","Mammalia",359,"Municipio de Alamos, Arroyo El Mentidero at El Chinal Rd., 11.3 km S of Alamos, 26°54'45'' N, 108°55'05'' W, 240 m elevation, Sonora, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"Mexico",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,11,NA,NA,NA,NA,NA,NA,11,"NATIVE","1998-01-11T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",1262417849,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Mephitidae |  |  | Conepatus","| United Mexican States | Sonora |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 26755",NA,NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852","MX",1262417849,"Animalia",1,"en","2016-03-29T18:16:50.863+0000","2016-08-04T10:11:13.772+0000","2016-03-29T18:16:50.900+0000",26.91475,NA,NA,"Municipio de Alamos, Arroyo El Mentidero at El Chinal Rd., 11.3 km S of Alamos, 26°54'45'' N, 108°55'05'' W, 240 m elevation",NA,NA,-108.93333,"2016-03-23T00:00:00.000+0000",1,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 26755",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","A.L. Reina G., T.R. VanDevender, M.A. Dimmitt, B. Skye",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-26755",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",11,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"11 January 1998","United Mexican States | Sonora | Municipio de Alamos, Arroyo El Mentidero at El Chinal Rd., 11.3 km S of Alamos, 26°54'45'' N, 108°55'05'' W, 240 m elevation",NA,"American Hog-nosed Skunk",1998,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"263",263,NA,"Texas","Pecos",NA,NA,"PRESERVED_SPECIMEN",NA,"9697","Mammalia",359,"20 mi SW Girvin, Texas, Pecos, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"1998-01-05T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061284631,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061284631,"Animalia",1,NA,"2016-06-28T07:24:29.068+0000","2016-08-04T15:40:26.571+0000","2015-03-03T13:48:18.972+0000",30.85728,NA,NA,"20 mi SW Girvin",NA,NA,-102.6277,NA,1,NA,NA,"6944176f-33ab-485b-83da-00dc1857cfd9",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"05 January 1998","20 mi SW Girvin (by road)",NA,"eastern hog-nosed skunk",1998,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"266",266,NA,"New Mexico","Dona Ana Co.",NA,NA,"PRESERVED_SPECIMEN",NA,"24535","Mammalia",359,"South of Las Cruces., New Mexico, Dona Ana Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"1997-01-01T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",583523037,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"MaNIS georeferencing guidelines",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae","North America; USA; New Mexico; Dona Ana Co.",NA,NA,NA,NA,NA,NA,NA,"Douglas J. Long","urn:catalog:CAS:MAM:24535",NA,NA,NA,"CAS",NA,"US",583523037,"Animalia",1,"en","2016-08-09T10:33:59.739+0000","2016-08-04T00:58:21.118+0000","2016-03-29T19:22:54.596+0000",32.0946719561227,NA,"ADULT","South of Las Cruces.",NA,NA,-106.77389976204,NA,1,NA,NA,"urn:catalog:CAS:MAM:24535","Cased skin and skull, purchased from Cascade Biological Supply.  Sex questionably a male; No wt. or measurements; trapped in January 1997, no day provided.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"SK; SN",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",1,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"Jan 1997",NA,NA,NA,1997,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"267",267,"http://vertnet.org/resources/norms.html","Arizona","Cochise",NA,NA,"PRESERVED_SPECIMEN",NA,"UAZ 26616","Mammalia",359,"Coronado Nat'l. Mem., R20E, T24S, Sec. 14, NE1/4, Arizona, Cochise, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,2,NA,NA,NA,NA,NA,NA,122,"NATIVE","1997-05-02T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1262417480,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Mephitidae |  |  | Conepatus","| United States of America  | Arizona | Cochise |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 26616",NA,NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852","US",1262417480,"Animalia",1,"en","2016-03-29T18:16:50.490+0000","2016-08-04T10:11:14.150+0000","2016-03-29T18:16:50.516+0000",31.3439,NA,NA,"Coronado Nat'l. Mem., R20E, T24S, Sec. 14, NE1/4",NA,NA,-110.2806,"2016-03-23T00:00:00.000+0000",5,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 26616",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"skull (cranium only)",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","D.E. Swann",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-26616",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",122,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"2 May 1997","United States of America  | Arizona | Cochise | Coronado Nat'l. Mem., R20E, T24S, Sec. 14, NE1/4",NA,"American Hog-nosed Skunk",1997,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"275",275,NA,"Texas","Upton",NA,NA,"PRESERVED_SPECIMEN",NA,"9707","Mammalia",359,"4.6 mi E Rankin, Hwy 67, Texas, Upton, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,"1997-10-24T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061284658,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061284658,"Animalia",1,NA,"2016-06-28T07:24:29.072+0000","2016-08-04T15:40:26.608+0000","2015-03-03T13:48:19.007+0000",31.23208,NA,NA,"4.6 mi E Rankin, Hwy 67",NA,NA,-101.85877,NA,10,NA,NA,"1285d904-96c0-492b-a58d-0e88f4e51509",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"kidney;heart;liver;skin, skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"24 October 1997","4.6 mi E Rankin, Hwy 67 (by road)",NA,"eastern hog-nosed skunk",1997,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"279",279,"http://vertnet.org/resources/norms.html","Texas","Presidio",NA,NA,"PRESERVED_SPECIMEN",NA,"69631","Mammalia",359,"BIG BEND RANCH STATE NATURAL AREA, Texas, Presidio, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,52059,"United States",NA,"854f70cc-55e3-4af2-9417-0f47d6c7902d",NA,NA,15,NA,NA,NA,NA,NA,NA,136,"NATIVE","1996-05-15T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"TK959469","United States",911700687,"Conepatus","Conepatus",2434869,"WGS84","Mia Hwang (TTU)","3/3/2003","VertNet Georeferencing Guidelines",NA,"Topozone.com","requires verification",NA,"CONEPATUS","| United States | Texas | Presidio Co |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:TTU:Mammals:69631",NA,NA,NA,"TTU","urn:lsid:biocol.org:col:34902","US",911700687,"Animalia",1,"en","2015-02-26T18:20:37.630+0000","2016-08-04T07:53:00.952+0000","2015-02-20T22:04:41.670+0000",30.13038,NA,NA,"BIG BEND RANCH STATE NATURAL AREA",NA,NA,-104.51411,"2015-02-20T00:00:00.000+0000",5,NA,"ICZN","urn:catalog:TTU:Mammals:69631",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"OT | other preparation",NA,"DWC_ARCHIVE","US","acac73b0-055d-11d8-b84f-b8a03c50a862","YANCEY, F D","2206","http://portal.vertnet.org/o/ttu/mammals?id=69631",NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,"Conepatus mesoleucus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"mesoleucus",136,NA,2434881,"SPECIES",NA,"PhysicalObject",NA,NA,"UTM",NA,"5/15/1996","UNITED STATES | TEXAS | PRESIDIO CO | BIG BEND RANCH STATE NATURAL AREA",NA,NA,1996,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"300",300,"http://www.vertnet.org/resources/norms.html","New Mexico","Eddy County",NA,NA,"PRESERVED_SPECIMEN",NA,"68560","Mammalia",359,"CCNP, 0.17 MI N VISITOR CENTER, New Mexico, Eddy County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-06-30T00:00:00.000+0000",19,NA,NA,NA,"sex=unknown",NA,NA,78,NA,"1993-03-19T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145359098,"Conepatus","Conepatus",2434869,"WGS84","Maria Rubio","2002-11-19 00:00:00.0","not recorded",NA,"USGS Map","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;  Lichtenstein 1832","North America, United States, New Mexico, Eddy County, Carlsbad Caverns National Park",NA,NA,NA,"A",NA,NA,"taxonomic revision","Jerry W. Dragoo","http://arctos.database.museum/guid/MSB:Mamm:68560?seid=399325",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145359098,"Animalia",1,"en","2016-07-28T04:56:23.142+0000","2016-08-04T12:18:28.628+0000","2016-06-24T04:34:51.557+0000",32.1804706137667,NA,NA,"CCNP, 0.17 MI N VISITOR CENTER","Maria Rubio",NA,-104.443932403123,NA,3,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:68560?seid=399325","T24S, R24E, NE 1/4 SEC. 36",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:68560","preparator number=2858",NA,"Chordata",44,"skull","<i>Conepatus leuconotus</i> (accepted ID) identified by Jerry W. Dragoo on 2005-06-30; method: taxonomic revision<br><i>Conepatus mesoleucus venaticus</i> identified by unknown on 2005-02-15; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Kenneth N. Geluso",NA,"http://arctos.database.museum/guid/MSB:Mamm:68560",NA,"http://arctosdb.org/home/data/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"19-Mar-1993","CCNP, 0.17 MI N VISITOR CENTER",NA,NA,1993,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"319",319,"http://www.vertnet.org/resources/norms.html","New Mexico","Sierra County",NA,NA,"PRESERVED_SPECIMEN",NA,"75777","Mammalia",359,"4 MI E, 1MI N WILLIAMSBURG.T14S R4W SEC 3. E SIDE, New Mexico, Sierra County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-06-30T00:00:00.000+0000",15,NA,NA,NA,"sex=unknown",NA,NA,259,NA,"1992-09-15T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145367033,"Conepatus","Conepatus",2434869,"WGS84","Maria Rubio","2003-02-06 00:00:00.0","not recorded",NA,"USGS Map","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;  Lichtenstein 1832","North America, United States, New Mexico, Sierra County",NA,NA,NA,"A",NA,NA,"taxonomic revision","Jerry W. Dragoo","http://arctos.database.museum/guid/MSB:Mamm:75777?seid=494168",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145367033,"Animalia",1,"en","2016-07-28T04:56:25.839+0000","2016-08-04T12:18:32.856+0000","2016-07-28T04:56:25.855+0000",33.1309393584377,NA,NA,"4 MI E, 1MI N WILLIAMSBURG.T14S R4W SEC 3. E SIDE","Maria Rubio",NA,-107.226598324126,NA,9,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:75777?seid=494168",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:75777","original identifier=NK; preparator number=5375",NA,"Chordata",44,"skull","<i>Conepatus leuconotus</i> (accepted ID) identified by Jerry W. Dragoo on 2005-06-30; method: taxonomic revision<br><i>Conepatus mesoleucus venaticus</i> identified by unknown on 2005-02-15; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): James N. Stuart, Gregory H. Farley",NA,"http://arctos.database.museum/guid/MSB:Mamm:75777",NA,"http://arctosdb.org/home/data/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"15-Sep-1992","4 MI E, 1MI N WILLIAMSBURG.T14S R4W SEC 3. E SIDE",NA,NA,1992,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"327",327,"http://vertnet.org/resources/norms.html","Arizona","Santa Cruz",NA,NA,"PRESERVED_SPECIMEN",NA,"UAZ 25513","Mammalia",359,"4 mi. SE Patagonia, North Saddle Mt. near bat cave, Arizona, Santa Cruz, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,24,NA,NA,NA,NA,NA,NA,236,"NATIVE","1990-08-24T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1262416581,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Mephitidae |  |  | Conepatus","| United States of America  | Arizona | Santa Cruz |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 25513",NA,NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852","US",1262416581,"Animalia",1,"en","2016-03-29T18:16:49.435+0000","2016-08-04T10:11:14.563+0000","2016-03-29T18:16:49.470+0000",31.52083,NA,NA,"4 mi. SE Patagonia, North Saddle Mt. near bat cave",NA,NA,-110.67833,"2016-03-23T00:00:00.000+0000",8,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 25513",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","Y. Petryszyn",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-25513",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",236,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"24 August 1990","United States of America  | Arizona | Santa Cruz | 4 mi. SE Patagonia, North Saddle Mt. near bat cave",NA,"American Hog-nosed Skunk",1990,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"332",332,"http://vertnet.org/resources/norms.html","Texas","Val Verde",NA,NA,"PRESERVED_SPECIMEN",NA,"51930","Mammalia",359,"7 MI S, 2 MI W LANGTRY, Texas, Val Verde, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"854f70cc-55e3-4af2-9417-0f47d6c7902d",NA,NA,25,NA,NA,NA,NA,NA,NA,85,"NATIVE","1988-03-25T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"TK946652","United States",911682963,"Conepatus","Conepatus",2434869,"WGS84","Mia Hwang (TTU)","3/3/2003","not recorded",NA,"Topozone.com","requires verification",NA,"CONEPATUS","| United States | Texas | Val Verde Co |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:TTU:Mammals:51930",NA,NA,NA,"TTU","urn:lsid:biocol.org:col:34902","US",911682963,"Animalia",1,"en","2015-02-26T18:20:31.516+0000","2016-08-04T07:53:00.733+0000","2015-02-20T22:04:23.617+0000",29.71,NA,NA,"7 MI S, 2 MI W LANGTRY",NA,NA,-101.587,"2015-02-20T00:00:00.000+0000",3,NA,"ICZN","urn:catalog:TTU:Mammals:51930",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"OT | other preparation",NA,"DWC_ARCHIVE","US","acac73b0-055d-11d8-b84f-b8a03c50a862","MANNING, R W","1019","http://portal.vertnet.org/o/ttu/mammals?id=51930",NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,"Conepatus mesoleucus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"mesoleucus",85,NA,2434881,"SPECIES",NA,"PhysicalObject",NA,NA,"UTM",NA,"3/25/1988","UNITED STATES | TEXAS | VAL VERDE CO | 7 MI S, 2 MI W LANGTRY",NA,NA,1988,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
