"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"13039",13390,"http://www.vertnet.org/resources/norms.html","Wyoming","Uinta County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1507","Mammalia",359,"14 miles E Evanston, Wyoming, Uinta County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,20723,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-01-05T00:00:00.000+0000",5,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,5,NA,"1971-01-05T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116706,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-04 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Uinta County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1507?seid=1877270",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116706,"Animalia",1,"en","2016-08-09T08:23:34.986+0000","2016-08-09T08:26:34.099+0000","2016-08-09T08:23:34.994+0000",41.26802,NA,NA,NA,NA,NA,NA,NA,NA,"14 miles E Evanston","James M. Maley",NA,NA,-110.69259,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1507?seid=1877270",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1507","collector number=122",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-01-05; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","122","http://arctos.database.museum/guid/UWYMV:Mamm:1507",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-01-05","14 miles E of Evanston on Musselman Creek Ridge",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13051",13402,"http://www.vertnet.org/resources/norms.html","Wyoming","Niobrara County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1499","Mammalia",359,"Windmill Draw, Wyoming, Niobrara County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1506,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-01-25T00:00:00.000+0000",25,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,25,NA,"1971-01-25T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116696,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-05 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Niobrara County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1499?seid=1877447",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116696,"Animalia",1,"en","2016-08-09T08:23:35.009+0000","2016-08-09T08:26:34.165+0000","2016-08-09T08:23:35.024+0000",43.42361,NA,NA,NA,NA,NA,NA,NA,NA,"Windmill Draw","James M. Maley",NA,NA,-104.68611,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1499?seid=1877447",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1499","collector number=113",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-01-25; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","113","http://arctos.database.museum/guid/UWYMV:Mamm:1499",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-01-25","N side Badger Cr. At head Peterson's Draw",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13069",13420,"http://www.vertnet.org/resources/norms.html","Wyoming","Big Horn County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1452","Mammalia",359,"Shell area, Wyoming, Big Horn County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,8833,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-01-20T00:00:00.000+0000",20,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,20,NA,"1971-01-20T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116646,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-09-26 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Big Horn County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1452?seid=1866720",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116646,"Animalia",1,"en","2016-08-09T08:23:34.991+0000","2016-08-09T08:26:34.133+0000","2016-08-09T08:23:35.000+0000",44.53556,NA,NA,NA,NA,NA,NA,NA,NA,"Shell area","James M. Maley",NA,NA,-107.77917,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1452?seid=1866720",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1452","collector number=1",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-01-20; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","1","http://arctos.database.museum/guid/UWYMV:Mamm:1452",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-01-20","5 miles SW Shell, Wyo and 1 miles E Fox Mountain",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13075",13426,"http://www.vertnet.org/resources/norms.html","Wyoming","Natrona County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1577","Mammalia",359,"near Midwest, Wyoming, Natrona County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1599,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-27T00:00:00.000+0000",27,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,58,NA,"1971-02-27T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116784,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-02 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Natrona County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1577?seid=1867835",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116784,"Animalia",1,"en","2016-08-09T08:23:35.006+0000","2016-08-09T08:26:34.148+0000","2016-08-09T08:23:35.020+0000",43.41139,NA,NA,NA,NA,NA,NA,NA,NA,"near Midwest","James M. Maley",NA,NA,-106.27944,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1577?seid=1867835",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1577","collector number=175",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-27; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","175","http://arctos.database.museum/guid/UWYMV:Mamm:1577",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-27","Near Midwest",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13081",13432,"http://www.vertnet.org/resources/norms.html","Wyoming","Lincoln County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1589","Mammalia",359,"4 miles W Cokeville, Wyoming, Lincoln County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,6721,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-19T00:00:00.000+0000",19,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,50,NA,"1971-02-19T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116796,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-02 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Lincoln County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1589?seid=1867843",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116796,"Animalia",1,"en","2016-08-09T08:23:35.066+0000","2016-08-09T08:26:34.231+0000","2016-08-09T08:23:35.076+0000",42.08247,NA,NA,NA,NA,NA,NA,NA,NA,"4 miles W Cokeville","James M. Maley",NA,NA,-111.03253,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1589?seid=1867843",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1589","collector number=200",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-19; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","200","http://arctos.database.museum/guid/UWYMV:Mamm:1589",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-19","4 miles W Cokeville",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13083",13434,"http://www.vertnet.org/resources/norms.html","Wyoming","Sweetwater County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1594","Mammalia",359,"Wamsutter, Wyoming, Sweetwater County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1715,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-16T00:00:00.000+0000",16,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,47,NA,"1971-02-16T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116802,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-04 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Sweetwater County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1594?seid=1875098",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116802,"Animalia",1,"en","2016-08-09T08:23:35.059+0000","2016-08-09T08:26:34.234+0000","2016-08-09T08:23:35.068+0000",41.67306,NA,NA,NA,NA,NA,NA,NA,NA,"Wamsutter","James M. Maley",NA,NA,-107.97861,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1594?seid=1875098",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1594","collector number=210",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-16; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","210","http://arctos.database.museum/guid/UWYMV:Mamm:1594",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-16","Wamsutter",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13085",13436,"http://www.vertnet.org/resources/norms.html","Wyoming","Lincoln County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1583","Mammalia",359,"Pine Creek, 6 miles E Cokeville, Wyoming, Lincoln County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,210,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-01T00:00:00.000+0000",1,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,32,NA,"1971-02-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116790,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-02 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Lincoln County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1583?seid=1867837",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116790,"Animalia",1,"en","2016-08-09T08:23:35.074+0000","2016-08-09T08:26:34.267+0000","2016-08-09T08:23:35.109+0000",42.10975,NA,NA,NA,NA,NA,NA,NA,NA,"Pine Creek, 6 miles E Cokeville","James M. Maley",NA,NA,-110.89114,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1583?seid=1867837",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1583","collector number=195 rt",NA,NA,"Chordata",44,"reproductive tract (ethanol)","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-01; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","195 rt","http://arctos.database.museum/guid/UWYMV:Mamm:1583",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-01","Pine Cr. 6 miles, E Cokeville",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13097",13448,"http://www.vertnet.org/resources/norms.html","Wyoming","Washakie County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1494","Mammalia",359,"North Buffalo Creek, Wyoming, Washakie County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,210,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-16T00:00:00.000+0000",16,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,47,NA,"1971-02-16T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116691,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-05 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Washakie County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1494?seid=1877339",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116691,"Animalia",1,"en","2016-08-09T08:23:35.018+0000","2016-08-09T08:26:34.199+0000","2016-08-09T08:23:35.042+0000",43.82071,NA,NA,NA,NA,NA,NA,NA,NA,"North Buffalo Creek","James M. Maley",NA,NA,-107.3727,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1494?seid=1877339",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1494","collector number=84",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-16; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","84","http://arctos.database.museum/guid/UWYMV:Mamm:1494",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-16","Ross burn, N Buffalo Cr. 20 miles SW Tensleep",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13101",13452,"http://www.vertnet.org/resources/norms.html","Wyoming","Uinta County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1510","Mammalia",359,"10 miles N Carter, Wyoming, Uinta County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,14862,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-04T00:00:00.000+0000",4,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,35,NA,"1971-02-04T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116710,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-10-04 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Uinta County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1510?seid=1877273",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116710,"Animalia",1,"en","2016-08-09T08:23:34.998+0000","2016-08-09T08:26:34.150+0000","2016-08-09T08:23:35.009+0000",41.58268,NA,NA,NA,NA,NA,NA,NA,NA,"10 miles N Carter","James M. Maley",NA,NA,-110.42778,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1510?seid=1877273",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1510","collector number=124 rt",NA,NA,"Chordata",44,"reproductive tract (ethanol)","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-04; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","124 rt","http://arctos.database.museum/guid/UWYMV:Mamm:1510",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-04","On Little Muddy below Lady Zelor's place 10 miles N Carter",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"13105",13456,"http://www.vertnet.org/resources/norms.html","Wyoming","Campbell County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"1484","Mammalia",359,"Gillette, Wyoming, Campbell County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,6065,"United States",NA,NA,"f36b26ac-97d1-40f6-a9a0-484defff98e7",NA,"1971-02-14T00:00:00.000+0000",14,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,45,NA,"1971-02-14T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",897116680,"Lynx","Lynx",2435239,"WGS84",NA,"James M. Maley","2012-09-26 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Wyoming, Campbell County",NA,NA,NA,NA,"A",NA,NA,"legacy","Doug Crow","http://arctos.database.museum/guid/UWYMV:Mamm:1484?seid=1866748",1,NA,NA,"UWYMV",NA,NA,NA,"US",897116680,"Animalia",1,"en","2016-08-09T08:23:34.984+0000","2016-08-09T08:26:34.118+0000","2016-08-09T08:23:34.994+0000",44.29111,NA,NA,NA,NA,NA,NA,NA,NA,"Gillette","James M. Maley",NA,NA,-105.50167,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UWYMV:Mamm:1484?seid=1866748",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UWYMV:Mamm:1484","collector number=70",NA,NA,"Chordata",44,"skull","<i>Lynx rufus</i> (accepted ID) identified by Doug Crow on 1971-02-14; method: legacy","DWC_ARCHIVE","US","50576fe5-7883-495d-9089-b5dcf5e56098","Collector(s): Doug Crow","70","http://arctos.database.museum/guid/UWYMV:Mamm:1484",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1971-02-14","Gillette, Reno Junction",NA,NA,NA,1971,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
