"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"759",760,NA,"Texas","Tom Green",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14998","Mammalia",359,"San Angelo, jct Loop 306 and Ben Ficklin Rd, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-09-28T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1061289944,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289944,"Animalia",1,NA,"2016-06-28T07:24:31.180+0000","2016-08-04T15:40:26.765+0000","2015-03-03T13:48:30.260+0000",31.40547,NA,NA,NA,NA,NA,NA,NA,"San Angelo, jct Loop 306 and Ben Ficklin Rd",NA,NA,NA,-100.44215,NA,NA,9,NA,NA,"bd1fb44f-3255-4bcd-8315-8108bb23719e",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,"28 September 2002","San Angelo, Jct. Loop 306 and Ben Ficklin Road",NA,"Gray Fox",NA,2002,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"763",764,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Missouri","ADAIR CO",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"163745","Mammalia",359,"KIRKSVILLE, 6 MI N, 1 MI W OF, Missouri, ADAIR CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,23,NA,NA,NA,"TotalLength: 851.0; TailLength: 294.0; HindFoot: 125.0; EarLength: 68.0; BodyMass: 3350.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-11-23T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",686490857,"Urocyon","Urocyon",2434558,"WGS84",NA,"N Slade","2006-11-07",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9744461a-1ed8-11e3-bfac-90b11c41863e",NA,NA,"ocythous","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490857,"Animalia",1,"en","2016-03-28T15:43:50.449+0000","2016-08-03T12:33:10.985+0000","2015-06-05T22:02:35.618+0000",40.2799652429998,NA,NA,NA,NA,NA,NA,NA,"KIRKSVILLE, 6 MI N, 1 MI W OF",NA,NA,NA,-92.6000223431803,NA,NA,11,NA,NA,"9744461a-1ed8-11e3-bfac-90b11c41863e",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SN",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","HOOPER E D JR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Urocyon cinereoargenteus subsp. ocythous Bangs, 1899",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,6164339,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,2002,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"772",773,NA,"Colima","Cuauhtemoc",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"27944","Mammalia",359,"3.4 km S Cerro Colorado, Colima, Cuauhtemoc, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"Mexico",NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,5,NA,NA,"In collection","{""totalLengthInmm"":""1079"", ""tailLengthInmm"":""382"", ""hindfootLengthInmm"":""128"", ""earLengthInmm"":""85"", ""weightIn"":""X""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-01-05T00:00:00.000+0000",NA,NA,"Canidae",9701,"No",NA,NA,NA,"Mexico",202107596,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"Conversion",NA,NA,"Verified by contributor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:27944",NA,NA,NA,"OMNH",NA,NA,NA,"MX",202107596,"Animalia",1,"English","2016-08-09T08:14:36.269+0000","2016-08-09T08:22:04.173+0000","2016-08-09T08:14:36.414+0000",19.31215,NA,NA,NA,NA,NA,NA,NA,"3.4 km S Cerro Colorado",NA,NA,NA,-103.55518,NA,"2016-04-21T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:27944",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"partial skeleton",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Colima Field Expedition 2001","MLK , 4442",NA,NA,NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,"Degrees decimal minutes","902 m",NA,NA,NA,"Gray Fox",NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"776",777,"http://www.vertnet.org/resources/norms.html","New Mexico",NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"92738","Mammalia",359,"No specific locality recorded., New Mexico, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,420217,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-02-15T00:00:00.000+0000",5,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,36,NA,"2001-02-05T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1145385650,"Urocyon","Urocyon",2434558,"WGS84",NA,"Michelle Fucci","2009-08-03 00:00:00.0","MaNIS georeferencing guidelines",NA,"BioGeomancer","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, New Mexico",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/MSB:Mamm:92738?seid=1298922",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145385650,"Animalia",1,"en","2016-07-28T04:56:30.991+0000","2016-08-04T12:18:34.854+0000","2016-06-24T04:35:07.207+0000",34.16566,NA,NA,NA,NA,NA,NA,NA,"No specific locality recorded.","Michelle Fucci",NA,NA,-106.02538,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:92738?seid=1298922","T:scrotal 10x5mm; 981-403-140-76 3.3kg heart kidney liver muscle",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:92738","NK=103286; preparator number=2777",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; heart, kidney (frozen); spleen (frozen); liver (frozen); muscle (frozen); lung (frozen)","<i>Urocyon cinereoargenteus</i> (accepted ID) identified by unknown on 2005-02-15; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): C. Lloyd",NA,"http://arctos.database.museum/guid/MSB:Mamm:92738",NA,"http://arctosdb.org/home/data/",NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"05-Feb-2001","No specific locality recorded.",NA,NA,NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"784",785,"http://vertnet.org/resources/norms.html","Arizona","Pima",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"UAZ 26774","Mammalia",359,"Saguaro Nat'l. Park, R.M.D., N 32°12'24.7'';,W 110°40'04.0'', Arizona, Pima, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,"NATIVE","2001-05-01T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1262417871,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Canidae |  |  | Urocyon","| United States of America  | Arizona | Pima |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 26774",NA,NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852",NA,NA,"US",1262417871,"Animalia",1,"en","2016-03-29T18:16:50.882+0000","2016-08-04T10:11:16.170+0000","2016-03-29T18:16:50.948+0000",32.17893,NA,NA,NA,NA,NA,NA,NA,"Saguaro Nat'l. Park, R.M.D., N 32°12'24.7'';,W 110°40'04.0''",NA,NA,NA,-110.60772,NA,"2016-03-23T00:00:00.000+0000",5,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 26774",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull (cranium only)",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","M. Wall",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-26774",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",121,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1 May 2001","United States of America  | Arizona | Pima | Saguaro Nat'l. Park, R.M.D., N 32°12'24.7'';,W 110°40'04.0''",NA,"Gray Fox",NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"789",790,NA,"New Mexico","Roosevelt",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"10965","Mammalia",359,"PORTALES JET; US 70 AND NM 467, New Mexico, Roosevelt, United States, NORTH_AMERICA","Mamm",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"9587f32a-f762-11e1-a439-00145eb45e9a",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-09-16T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",174749893,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENMU",NA,NA,NA,"US",174749893,"Animalia",1,NA,"2013-09-07T07:14:19.000+0000","2016-08-04T09:50:39.409+0000",NA,34.34,NA,NA,NA,NA,NA,NA,NA,"PORTALES JET; US 70 AND NM 467",NA,NA,NA,-103.53,NA,NA,9,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR_MANIS","US","0fbd3740-5703-11dd-b927-b8a03c50a862","JK FREY",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"791",792,"http://www.vertnet.org/resources/norms.html","New Mexico","Rio Arriba County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"141314","Mammalia",359,"Espanola, New Mexico, Rio Arriba County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,10047,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2001-10-20T00:00:00.000+0000",19,NA,NA,NA,"total length=910 mm; tail length=425 mm; hind foot with claw=13 mm; ear from notch=79 mm; weight=44 kg; sex=female",NA,NA,NA,NA,NA,NA,NA,292,NA,"2001-10-19T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1145167626,"Urocyon","Urocyon",2434558,"WGS84",NA,"Jason L. Malaney","2010-08-10 00:00:00.0","BioGeoMancer",NA,"Beogeomancer","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, New Mexico, Rio Arriba County",NA,NA,NA,NA,"A",NA,"expert","Paul J. Polechla Jr.","http://arctos.database.museum/guid/MSB:Mamm:141314?seid=467247",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145167626,"Animalia",1,"en","2016-07-28T04:55:30.390+0000","2016-08-04T12:18:43.410+0000","2016-06-24T04:32:57.570+0000",36.00448,NA,NA,NA,NA,NA,NA,NA,"Espanola","Jason L. Malaney",NA,NA,-106.07541,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:141314?seid=467247",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:141314","NK=103335; preparator number=001",NA,NA,"Chordata",44,"skin; skin sample; skull; postcranial skeleton; heart, kidney (frozen); liver (frozen)","<i>Urocyon cinereoargenteus</i> (accepted ID) identified by Paul J. Polechla Jr. on 2001-10-20; method: expert<br><i>Acinonyx jubatus</i> identified by unknown on 2005-03-10; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Carnivore Initiative Project; Preparator(s): Teri J. Orr",NA,"http://arctos.database.museum/guid/MSB:Mamm:141314",NA,"http://arctosdb.org/home/data/",NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"FEMALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"19 Oct 2001","Wildlife Center Inc, Espanola",NA,NA,NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"794",795,NA,"Texas","Brewster",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14990","Mammalia",359,"28.5 mi S Marathon, Hwy 385, Texas, Brewster, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-10-14T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1061289937,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289937,"Animalia",1,NA,"2016-06-28T07:24:31.186+0000","2016-08-04T15:40:26.120+0000","2015-03-03T13:48:30.244+0000",29.82597,NA,NA,NA,NA,NA,NA,NA,"28.5 mi S Marathon, Hwy 385",NA,NA,NA,-103.21181,NA,NA,10,NA,NA,"b154a238-f62f-4fef-a75a-4e26670f3c81",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dixon, Michael T",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,"14 October 2001","28.5 mi S Marathon on Hwy 385",NA,"Gray Fox",NA,2001,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"799",800,NA,"Colima","Manzanillo",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"27946","Mammalia",359,"Playa de Oro, Colima, Manzanillo, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"Mexico",NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,1,NA,NA,"In collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-01-01T00:00:00.000+0000",NA,NA,"Canidae",9701,"Yes",NA,NA,NA,"Mexico",202107598,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"Conversion",NA,NA,"Verified by contributor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:27946",NA,NA,NA,"OMNH",NA,NA,NA,"MX",202107598,"Animalia",1,"English","2016-08-09T08:14:36.229+0000","2016-08-09T08:22:03.863+0000","2016-08-09T08:14:36.371+0000",19.13245,NA,NA,NA,NA,NA,NA,NA,"Playa de Oro",NA,NA,NA,-104.51337,NA,"2016-04-21T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:27946",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"mandible",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Colima Field Expedition 2000","MLRA , 3654",NA,NA,NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,"Degrees decimal minutes","3 m",NA,NA,NA,"Gray Fox",NA,2000,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"805",806,NA,"Chiapas","CONCORDIA, LA",NA,NA,NA,NA,"LITERATURE",NA,NA,NA,"NA / 6712 / y021","Mammalia",359,"Polígono III Custepeques, Campamento El Quetzal, Chiapas, CONCORDIA, LA, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"802f2cdc-f762-11e1-a439-00145eb45e9a",NA,"2000-02-10T00:00:00.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,"2000-02-10T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"Mexico",371230241,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. Riechers P.",NA,NA,NA,NA,"ND",NA,NA,NA,"MX",371230241,"Animalia",1,NA,"2016-01-29T15:32:59.985+0000","2016-08-04T03:37:51.962+0000","2014-10-11T16:03:06.639+0000",15.733,NA,NA,NA,NA,NA,NA,NA,"Polígono III Custepeques, Campamento El Quetzal",NA,NA,NA,-92.933,NA,NA,2,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"820",821,NA,"Chiapas","ACACOYAGUA",NA,NA,NA,NA,"LITERATURE",NA,NA,NA,"NA / 6741 / y021","Mammalia",359,"Ejido Las Golondrinas, Rancho La Gloria, Chiapas, ACACOYAGUA, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"802f2cdc-f762-11e1-a439-00145eb45e9a",NA,"2000-03-07T00:00:00.000+0000",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,"2000-03-07T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"Mexico",371230475,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. Vázquez B.",NA,NA,NA,NA,"ND",NA,NA,NA,"MX",371230475,"Animalia",1,NA,"2016-01-29T15:32:59.959+0000","2016-08-04T03:37:50.040+0000","2014-10-11T16:03:06.643+0000",15.42,NA,NA,NA,NA,NA,NA,NA,"Ejido Las Golondrinas, Rancho La Gloria",NA,NA,NA,-92.632,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"834",835,NA,"Texas","Val Verde",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"10982","Mammalia",359,"Devils River State Natural Area, Devils River, Texas, Val Verde, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-04-01T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1061285979,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061285979,"Animalia",1,NA,"2016-06-28T07:24:29.611+0000","2016-08-04T15:40:26.144+0000","2015-03-03T13:48:21.457+0000",29.9535,NA,NA,NA,NA,NA,NA,NA,"Devils River State Natural Area, Devils River",NA,NA,NA,-100.96662,NA,NA,4,NA,NA,"1dbaa499-64fe-452f-b88a-f07e746050b4",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Humbertson, Richard A",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,"01 April 2000","Devil's River State Natural Area, Devil's River, specific locality unknown",NA,"Gray Fox",NA,2000,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
