"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"1430",1434,"not-for-profit use only","Ontario","Sudbury",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92316","Mammalia",359,"Cunningham Township, Ontario, Sudbury, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-08T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211853017,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Sudbury",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92316",NA,NA,NA,"ROM",NA,NA,"CA",1211853017,"Animalia",1,"en","2016-05-26T13:57:49.898+0000","2016-08-04T13:23:35.310+0000","2016-05-26T13:57:58.319+0000",47.55,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Cunningham Township",NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-82.66667,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92316",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-219",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800108","Cunningham Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1431",1435,"not-for-profit use only","Ontario","Timiskaming",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92132","Mammalia",359,"James Township, Ontario, Timiskaming, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-02T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211853460,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Timiskaming",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92132",NA,NA,NA,"ROM",NA,NA,"CA",1211853460,"Animalia",1,"en","2016-05-26T13:57:50.424+0000","2016-08-04T13:23:35.385+0000","2016-05-26T13:57:58.704+0000",47.71667,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"James Township",NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-80.33333,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92132",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-019",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800102","James Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1435",1439,"not-for-profit use only","Ontario","Sudbury",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92311","Mammalia",359,"Lemoine Township, Ontario, Sudbury, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211855019,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Sudbury",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92311",NA,NA,NA,"ROM",NA,NA,"CA",1211855019,"Animalia",1,"en","2016-05-26T13:57:52.237+0000","2016-08-04T13:23:35.771+0000","2016-05-26T13:58:00.361+0000",48.26667,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Lemoine Township",NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-82.68333,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92311",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-214",NA,"pregnant; 4 emb 2L 2R",NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800100","Lemoine Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1436",1440,"not-for-profit use only","Ontario","Cochrane",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92442","Mammalia",359,"Beaton Township, Ontario, Cochrane, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-05T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211858133,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Cochrane",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92442",NA,NA,NA,"ROM",NA,NA,"CA",1211858133,"Animalia",1,"en","2016-05-26T13:57:55.222+0000","2016-08-04T13:23:36.849+0000","2016-05-26T13:58:03.087+0000",49,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Beaton Township",NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-84.73333,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92442",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-385",NA,"pregnant; 8 emb 4L 4R",NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800105","Beaton Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1437",1441,"not-for-profit use only","Ontario","Algoma",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92511","Mammalia",359,"Opasatika Township, Ontario, Algoma, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",5.84,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-13T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211858610,"Lynx","Lynx",2435239,"WGS84","Janet Sit (ROM)","20070215","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Energy, Mines and Resources Canada, Series A501, Kapuskasing, 42 G, 1:250,000, Edition 4, 1988","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Algoma",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92511",NA,NA,NA,"ROM",NA,NA,"CA",1211858610,"Animalia",1,"en","2016-05-26T13:57:55.908+0000","2016-08-04T13:23:36.933+0000","2016-05-26T13:58:03.280+0000",49.1224556859787,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Opasatika Township",NA,NA,-83.1311694249882,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92511",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-493",NA,"nulliparous",NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800113","Opasatika Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1445",1449,"not-for-profit use only","Ontario","Timiskaming",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92306","Mammalia",359,"Mcvittie Township, Ontario, Timiskaming, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-19T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211854847,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Timiskaming",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92306",NA,NA,NA,"ROM",NA,NA,"CA",1211854847,"Animalia",1,"en","2016-05-26T13:57:52.054+0000","2016-08-04T13:23:35.730+0000","2016-05-26T13:58:00.071+0000",48.15,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Mcvittie Township",NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-79.7,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92306",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-208",NA,"nulliparous",NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800119","Mcvittie Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1454",1458,"not-for-profit use only","Ontario","Sudbury",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92283","Mammalia",359,"Ontario, Sudbury, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-04T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",891356863,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Sudbury",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92283",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,"CA",891356863,"Animalia",1,"en","2015-01-22T18:31:54.805+0000","2016-08-04T13:23:35.462+0000","2015-01-22T18:31:54.885+0000",47.36667,NA,NA,NA,NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-81.1,"2014-11-19T00:00:00.000+0000",1,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-184",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800104",NA,NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1482",1486,"not-for-profit use only","Ontario","Algoma",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92544","Mammalia",359,"Allenby Township, Ontario, Algoma, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",5.99,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-20T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211858007,"Lynx","Lynx",2435239,"WGS84","Janet Sit (ROM)","20070206","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Energy, Mines and Resources Canada, Series A501, Hornepayne, 42 F, 1:250,000, Edition 3, 1995","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Algoma",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92544",NA,NA,NA,"ROM",NA,NA,"CA",1211858007,"Animalia",1,"en","2016-05-26T13:57:55.061+0000","2016-08-04T13:23:36.655+0000","2016-05-26T13:58:03.009+0000",48.9065399990657,"https://creativecommons.org/licenses/by-nc/4.0/","ADULT","Allenby Township",NA,NA,-82.73489,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92544",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-576",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800120","Allenby Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1491",1495,"not-for-profit use only","Ontario","Algoma",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92434","Mammalia",359,"Villeneuve Township, Ontario, Algoma, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",3.92,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211851313,"Lynx","Lynx",2435239,"WGS84","Janet Sit (ROM)","20070208","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Energy, Mines and Resources Canada, Series A501, Blind River, 41 J, 1:250,000, Edition 4, 1997","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Algoma",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92434",NA,NA,NA,"ROM",NA,NA,"CA",1211851313,"Animalia",1,"en","2016-05-26T13:57:48.291+0000","2016-08-04T13:23:34.773+0000","2016-05-26T13:57:57.285+0000",46.8451499990588,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Villeneuve Township",NA,NA,-83.2545,"2016-05-19T00:00:00.000+0000",1,NA,NA,"URI:catalog:ROM:Mammals:92434",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-373",NA,"pregnant; 2 emb 2L",NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800100","Villeneuve Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1566",1570,"not-for-profit use only","Ontario","Cochrane",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92496","Mammalia",359,"Ontario, Cochrane, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"1980-02-05T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",891359093,"Lynx","Lynx",2435239,"WGS84","Stephen Lee (ROM)",NA,"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Gazetteer of Canada:  Ontario, 2nd Edition.  1974.  Department of Energy, Mines and Resources Canada, xxxiii + 823 pp.","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Cochrane",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92496",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,"CA",891359093,"Animalia",1,"en","2015-01-22T18:32:00.299+0000","2016-08-04T13:23:37.315+0000","2015-01-22T18:32:00.833+0000",49.65,NA,NA,NA,NA,"ROM data parsed by John Wieczorek, 20020402; MaNIS-02 Upload",-84.16667,"2014-11-19T00:00:00.000+0000",2,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-474",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800205",NA,NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
"1569",1573,"not-for-profit use only","Ontario","Algoma",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"92401","Mammalia",359,"Gaudry Township, Ontario, Algoma, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",3.9,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"1980-02-03T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1211851881,"Lynx","Lynx",2435239,"WGS84","Janet Sit (ROM)","20070206","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Natural Resources Canada, Series A501, Chapleau, 41 O, 1:250,000, Edition 3, 1996","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae; Lynx","North America; Canada; Ontario; Algoma",NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:92401",NA,NA,NA,"ROM",NA,NA,"CA",1211851881,"Animalia",1,"en","2016-05-26T13:57:48.804+0000","2016-08-04T13:23:35.171+0000","2016-05-26T13:57:57.653+0000",47.1036499990594,"https://creativecommons.org/licenses/by-nc/4.0/",NA,"Gaudry Township",NA,NA,-83.78221,"2016-05-19T00:00:00.000+0000",2,NA,NA,"URI:catalog:ROM:Mammals:92401",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Quinn, NWS","80-331",NA,NA,NA,"Royal Ontario Museum; ROM",NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"19800203","Gaudry Township",NA,NA,NA,1980,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","IUCN",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",518.167351419,774.683890611,TRUE
